emp_no,last_name,first_name,birth_date,titles,from_date,to_date
455284,Baig,Luisa,1965-01-09,Engineer/Senior Engineer,1996-07-12,9999-01-01
442002,Baig,Ravishankar,1965-01-03,Staff/Senior Staff,1992-03-17,9999-01-01
66757,Baig,Yonghong,1965-01-16,Staff,1999-04-10,9999-01-01
80203,Baik,Shakhar,1965-01-22,Staff,1993-12-01,9999-01-01
293752,Bail,Jungsoon,1965-01-04,Senior Staff/Staff,1986-02-18,9999-01-01
211967,Bain,Anwar,1965-01-07,Senior Engineer/Engineer,1989-01-22,9999-01-01
488752,Baja,Nimmagadda,1965-01-23,Senior Staff/Staff,1994-02-09,9999-01-01
247447,Bakhtari,Tzu,1965-01-28,Senior Engineer/Engineer,1994-03-18,9999-01-01
264626,Bakhtari,Noritoshi,1965-01-13,Staff/Senior Staff,1993-02-03,9999-01-01
478439,Bale,Yuichiro,1965-01-15,Technique Leader,1997-11-04,9999-01-01
90084,Bale,Renny,1965-01-01,Senior Engineer/Engineer,1989-11-22,9999-01-01
233785,Ballarin,Baziley,1965-01-30,Staff/Senior Staff,1987-07-28,9999-01-01
411143,Barbanera,Goncalo,1965-01-08,Senior Staff,1996-09-01,9999-01-01
207401,Barbanera,Shuji,1965-01-04,Staff/Senior Staff,1987-08-10,9999-01-01
420694,Barbanera,Frazer,1965-01-19,Senior Staff/Staff,1986-11-04,9999-01-01
256856,Barbanera,Hongzue,1965-01-03,Staff/Senior Staff,1987-06-17,9999-01-01
80948,Bardell,Harjit,1965-01-27,Senior Engineer/Engineer,1991-05-24,9999-01-01
438264,Barreiro,Rasikan,1965-01-19,Staff/Senior Staff,1991-09-27,9999-01-01
205660,Barreiro,Kien,1965-01-27,Staff,2000-10-24,9999-01-01
79763,Barreiro,Sanjoy,1965-01-20,Staff/Senior Staff,1988-04-09,9999-01-01
84236,Barriga,Eberhardt,1965-01-18,Senior Staff/Staff,1987-06-04,9999-01-01
463495,Barriga,Alenka,1965-01-28,Senior Staff/Staff,1988-05-06,9999-01-01
295278,Barvinok,Val,1965-01-04,Engineer/Senior Engineer/Assistant Engineer,1990-01-02,9999-01-01
435370,Basart,Conal,1965-01-16,Senior Staff,1991-05-17,9999-01-01
71066,Basart,Domenick,1965-01-27,Senior Staff/Staff,1996-01-05,9999-01-01
243898,Basawa,Arch,1965-01-09,Staff,1998-05-10,9999-01-01
25488,Basawa,Ingmar,1965-01-19,Staff/Senior Staff,1991-11-09,9999-01-01
469253,Basawa,Baruch,1965-01-17,Engineer/Senior Engineer,1993-09-17,9999-01-01
421312,Bashian,Mariangiola,1965-01-13,Engineer,1999-09-18,9999-01-01
34446,Bauknecht,Chinhyun,1965-01-31,Senior Engineer,1986-12-19,9999-01-01
84315,Baumann,Kristina,1965-01-23,Assistant Engineer,1996-09-26,9999-01-01
445226,Baumann,Oscar,1965-01-01,Engineer/Senior Engineer,1987-01-22,9999-01-01
404788,Beausoleil,Basem,1965-01-16,Engineer,1998-03-16,9999-01-01
260249,Beausoleil,Vugranam,1965-01-22,Staff,1998-05-14,9999-01-01
421384,Bednarek,Renny,1965-01-02,Staff/Senior Staff,1987-06-01,9999-01-01
292504,Bednarek,Georgi,1965-01-27,Engineer/Senior Engineer,1994-03-02,9999-01-01
273806,Beetstra,Hongzhu,1965-01-01,Staff/Senior Staff,1997-08-18,9999-01-01
457337,Beidas,Xumin,1965-01-31,Technique Leader,1995-04-27,9999-01-01
282894,Bellmore,Fay,1965-01-05,Senior Engineer/Engineer,1989-05-03,9999-01-01
295255,Bellone,Jacopo,1965-01-04,Technique Leader,1988-03-13,9999-01-01
49010,Benantar,Kazuhisa,1965-01-16,Staff/Senior Staff,1990-03-30,9999-01-01
480407,Bennis,Deniz,1965-01-01,Senior Engineer/Engineer,1989-06-24,9999-01-01
488619,Bennis,Georgy,1965-01-25,Engineer,1998-04-11,9999-01-01
20313,Benveniste,Candida,1965-01-24,Engineer,1999-01-20,9999-01-01
298339,Benzmuller,King,1965-01-11,Senior Engineer/Engineer,1986-09-04,9999-01-01
64023,Benzmuller,Laurentiu,1965-01-11,Senior Engineer,1999-11-08,9999-01-01
46811,Berendt,Junsik,1965-01-10,Senior Engineer,1988-04-27,9999-01-01
432261,Bergere,Arve,1965-01-30,Engineer/Senior Engineer,1987-07-28,9999-01-01
235780,Bergere,Sampalli,1965-01-17,Senior Engineer,1994-04-08,9999-01-01
204133,Bergere,Susuma,1965-01-22,Senior Staff,1996-02-25,9999-01-01
73743,Bernardeschi,Anneke,1965-01-15,Engineer,2000-10-15,9999-01-01
486068,Bernardeschi,Yefim,1965-01-11,Staff/Senior Staff,1996-06-26,9999-01-01
40536,Bernardinello,Harngdar,1965-01-20,Senior Engineer/Engineer,1988-02-29,9999-01-01
449189,Bernatsky,Jahangir,1965-01-30,Senior Staff,1995-09-30,9999-01-01
257378,Bernatsky,Pascal,1965-01-06,Staff/Senior Staff,1988-09-03,9999-01-01
251233,Bernini,Yucel,1965-01-07,Engineer/Senior Engineer,1993-02-19,9999-01-01
452325,Berstel,Taiji,1965-01-14,Senior Engineer/Engineer,1996-12-02,9999-01-01
493048,Berztiss,Muzhong,1965-01-31,Staff/Senior Staff,1995-01-23,9999-01-01
284561,Beznosov,Duri,1965-01-03,Senior Engineer,1988-02-15,9999-01-01
435774,Bharadwaj,Olivera,1965-01-09,Staff/Senior Staff,1992-04-01,9999-01-01
415563,Bierbaum,Mrinalini,1965-01-21,Senior Engineer/Engineer,1986-03-12,9999-01-01
286452,Bierbaum,Behnaam,1965-01-26,Engineer,1999-01-31,9999-01-01
262752,Bierman,Pramod,1965-01-04,Engineer,1997-12-12,9999-01-01
219035,Bierman,Kristine,1965-01-18,Technique Leader,1988-05-13,9999-01-01
428917,Billawala,Theron,1965-01-23,Senior Engineer/Assistant Engineer/Engineer,1989-02-17,9999-01-01
222311,Billingsley,Miyeon,1965-01-20,Senior Engineer,1992-12-05,9999-01-01
476327,Binkley,Reinhold,1965-01-31,Engineer/Senior Engineer,1995-05-29,9999-01-01
47262,Binkley,Gonzalo,1965-01-10,Engineer/Senior Engineer,1985-08-16,9999-01-01
437369,Biran,Kazuhide,1965-02-01,Senior Staff,1995-01-25,9999-01-01
22185,Birch,Huai,1965-01-29,Assistant Engineer/Engineer,2002-06-12,9999-01-01
77303,Birge,Xinglin,1965-01-18,Senior Staff/Staff,1992-03-05,9999-01-01
288560,Birjandi,Yifei,1965-01-16,Senior Staff/Staff,1994-02-07,9999-01-01
89048,Birjandi,Otmar,1965-01-24,Engineer/Senior Engineer,1985-03-23,9999-01-01
432956,Birrer,Qunsheng,1965-01-25,Senior Staff/Staff,1986-05-13,9999-01-01
88422,Birsak,Jungsoon,1965-01-28,Technique Leader,1985-04-03,9999-01-01
466745,Birsak,Boalin,1965-01-26,Staff/Senior Staff,1995-10-16,9999-01-01
260399,Birsak,Hatem,1965-01-30,Staff/Senior Staff,1989-04-10,9999-01-01
290769,Blokdijk,Lalit,1965-01-26,Senior Engineer,1999-02-01,9999-01-01
43733,Boguraev,Huei,1965-01-26,Senior Staff/Staff,1993-12-31,9999-01-01
81105,Boissier,Jaewon,1965-01-14,Engineer/Senior Engineer,1992-05-24,9999-01-01
40283,Boissier,Sudhanshu,1965-01-07,Engineer/Senior Engineer,1985-05-11,9999-01-01
485817,Bolotov,Mahmut,1965-01-29,Engineer,1997-02-21,9999-01-01
420476,Bolsens,Mariangiola,1965-01-28,Senior Staff/Staff,1985-06-15,9999-01-01
467441,Bondorf,Margareta,1965-01-13,Engineer/Senior Engineer,1988-11-07,9999-01-01
74668,Bonifati,Masako,1965-01-01,Senior Staff,1987-04-09,9999-01-01
451333,Bonifati,Radhika,1965-01-15,Senior Staff,1995-03-11,9999-01-01
17447,Boreale,Zengping,1965-01-11,Staff,1998-12-16,9999-01-01
478799,Borovoy,Shaw,1965-01-18,Senior Staff,1991-05-11,9999-01-01
467176,Borovoy,Przemyslawa,1965-01-05,Senior Staff/Staff,1993-06-18,9999-01-01
435042,Borstler,Brigham,1965-01-10,Staff,1995-10-09,9999-01-01
245396,Bottner,Gift,1965-01-31,Staff/Senior Staff,1995-03-04,9999-01-01
278239,Bottner,Boaz,1965-01-19,Staff,1994-02-06,9999-01-01
262210,Bottner,Chinho,1965-01-22,Assistant Engineer/Senior Engineer/Engineer,1985-07-29,9999-01-01
241728,Boudaillier,Limsoon,1965-01-30,Senior Engineer,1999-08-08,9999-01-01
57934,Boudaillier,Sanjoy,1965-01-25,Engineer/Senior Engineer,1989-12-27,9999-01-01
259718,Bouloucos,Stepehn,1965-01-24,Senior Staff/Staff,1993-12-13,9999-01-01
411070,Brandsma,Otmar,1965-01-29,Senior Engineer/Engineer,1987-05-28,9999-01-01
275158,Brandsma,Satyanarayana,1965-01-07,Engineer,1999-12-08,9999-01-01
403954,Bratten,Jeanna,1965-01-10,Senior Engineer/Engineer,1990-07-26,9999-01-01
230865,Brattka,Takushi,1965-01-02,Staff,1999-06-03,9999-01-01
452347,Brattka,Shigeichiro,1965-01-07,Senior Staff/Staff,1996-07-13,9999-01-01
254044,Brendel,Gunilla,1965-01-16,Senior Engineer/Engineer,1992-04-10,9999-01-01
228554,Brendel,Bilhanan,1965-01-03,Senior Staff,1990-12-23,9999-01-01
239415,Brender,Susumu,1965-01-01,Senior Engineer/Engineer,1993-04-17,9999-01-01
64632,Brender,Zsolt,1965-01-07,Senior Staff,1996-02-21,9999-01-01
81995,Brender,Sreekrishna,1965-01-10,Senior Engineer/Engineer,1990-03-22,9999-01-01
22451,Bresenham,Jasminko,1965-01-27,Staff/Senior Staff,1994-01-19,9999-01-01
88103,Bresenham,Goo,1965-01-09,Senior Staff,1999-01-31,9999-01-01
62245,Bressoud,Adel,1965-01-01,Engineer,1995-08-30,9999-01-01
497174,Bressoud,Sanjiv,1965-01-02,Engineer/Senior Engineer,1993-04-27,9999-01-01
224135,Bressoud,Annemarie,1965-01-02,Engineer,1998-06-23,9999-01-01
21909,Brizzi,Mohammed,1965-01-04,Senior Staff/Staff,1991-12-28,9999-01-01
482885,Brizzi,Shaunak,1965-01-29,Assistant Engineer/Engineer/Senior Engineer,1988-09-02,9999-01-01
256216,Brodal,Halsur,1965-01-01,Engineer,1997-11-22,9999-01-01
205627,Broder,Stabislas,1965-01-21,Engineer/Senior Engineer,1996-07-16,9999-01-01
294652,Brodie,Hironobu,1965-01-27,Engineer/Senior Engineer,1998-12-21,9999-01-01
468773,Brookner,Baziley,1965-01-27,Engineer/Senior Engineer,1993-09-22,9999-01-01
260408,Brookner,Sasan,1965-01-19,Staff/Senior Staff,1996-09-03,9999-01-01
426644,Broomell,Zejun,1965-01-13,Engineer/Senior Engineer,1995-01-19,9999-01-01
419099,Broomell,Heon,1965-01-15,Staff,1998-05-06,9999-01-01
263012,Buchter,Hideo,1965-01-09,Staff,1999-05-01,9999-01-01
71243,Buchter,Kinh,1965-01-10,Engineer/Senior Engineer,1986-03-29,9999-01-01
41137,Buchter,Bikash,1965-01-20,Staff/Senior Staff,1996-01-08,9999-01-01
285906,Buescher,Arnould,1965-01-02,Engineer,1998-03-26,9999-01-01
239706,Bugrara,Arunas,1965-01-15,Assistant Engineer,1997-04-03,9999-01-01
232723,Bugrara,Tesuya,1965-01-14,Assistant Engineer/Engineer,1993-02-13,9999-01-01
15058,Bugrara,Bouchung,1965-01-30,Senior Staff/Staff,1990-06-18,9999-01-01
444465,Bultermann,Prasadram,1965-01-13,Senior Engineer,1998-10-25,9999-01-01
481050,Burnard,Weiru,1965-01-16,Staff/Senior Staff,1990-10-15,9999-01-01
421022,Butner,Shigeaki,1965-01-26,Senior Staff,1996-07-13,9999-01-01
244711,Butner,Rosli,1965-01-25,Engineer/Assistant Engineer,1991-03-20,9999-01-01
258470,Butner,Weiwu,1965-01-04,Staff,1995-02-14,9999-01-01
37945,Butterworth,Suzette,1965-01-02,Senior Engineer,1994-02-19,9999-01-01
290075,Byoun,Boalin,1965-01-15,Senior Staff/Staff,1990-10-01,9999-01-01
58497,Cairo,Yechiam,1965-01-22,Senior Staff,2000-10-21,9999-01-01
295268,Calkin,Eben,1965-01-28,Senior Staff/Staff,1996-12-19,9999-01-01
29265,Calkin,Gilbert,1965-01-14,Senior Staff/Staff,1988-03-21,9999-01-01
17988,Calkin,Mabhin,1965-01-31,Engineer/Senior Engineer,1989-11-30,9999-01-01
34261,Callaway,Kyoichi,1965-01-05,Staff/Senior Staff,1990-12-30,9999-01-01
85414,Callaway,Chiradeep,1965-01-14,Staff,1999-07-30,9999-01-01
200789,Camurati,Susumu,1965-01-14,Staff/Senior Staff,1991-12-15,9999-01-01
294527,Candan,Ashish,1965-01-04,Senior Staff,1992-02-02,9999-01-01
66382,Candan,Domenico,1965-01-04,Engineer,1997-07-13,9999-01-01
92841,Candan,Claude,1965-01-22,Senior Staff,1993-08-04,9999-01-01
272860,Candan,Minghong,1965-02-01,Assistant Engineer,1994-02-10,9999-01-01
409805,Candan,Frazer,1965-01-15,Senior Engineer,1999-03-05,9999-01-01
54800,Cangellaris,Breannda,1965-01-13,Staff,2000-01-27,9999-01-01
21181,Cangellaris,Jianhui,1965-01-21,Engineer/Assistant Engineer,1991-10-06,9999-01-01
411082,Cangellaris,Martine,1965-01-08,Engineer/Senior Engineer,1992-04-28,9999-01-01
88411,Cannane,Lena,1965-01-31,Engineer,2000-01-28,9999-01-01
14127,Cannard,Magdalena,1965-01-10,Engineer/Senior Engineer,1994-04-22,9999-01-01
109620,Cannata,Mani,1965-01-02,Staff/Senior Staff,1989-06-21,9999-01-01
49464,Cappelletti,Siddarth,1965-01-14,Staff,1999-09-10,9999-01-01
78469,Cappelli,Leucio,1965-01-28,Staff,1997-08-22,9999-01-01
39036,Cappelli,Changho,1965-01-08,Staff,1996-05-04,9999-01-01
95181,Cappelli,Yishai,1965-01-28,Staff,1997-01-30,9999-01-01
62033,Cappelli,Heeju,1965-01-24,Senior Engineer/Engineer,1987-01-15,9999-01-01
214215,Cardazo,Xiaoqiang,1965-01-25,Senior Staff,1993-05-28,9999-01-01
53314,Carrera,Eberhardt,1965-01-06,Staff,1999-02-23,9999-01-01
17970,Carrere,Filipp,1965-01-06,Technique Leader,1989-01-09,9999-01-01
246244,Casperson,George,1965-01-09,Staff,2000-01-20,9999-01-01
94416,Cesareni,Aran,1965-01-01,Senior Staff,2001-11-20,9999-01-01
444208,Cesareni,Irena,1965-01-27,Senior Staff,1985-10-30,9999-01-01
233765,Chachaty,Kotesh,1965-01-20,Senior Engineer/Engineer,1991-03-25,9999-01-01
224335,Chachaty,Perry,1965-01-29,Engineer/Senior Engineer,1985-07-22,9999-01-01
467886,Chandrasekhar,Sivanarayana,1965-01-02,Senior Staff,1996-01-24,9999-01-01
429569,Chappelet,Fumiya,1965-01-03,Engineer/Assistant Engineer,1992-09-03,9999-01-01
481397,Chelton,Luisa,1965-01-31,Assistant Engineer,1998-08-13,9999-01-01
90518,Chepyzhov,Fumiko,1965-01-24,Staff/Senior Staff,1988-01-28,9999-01-01
214789,Chepyzhov,Arfst,1965-01-28,Engineer/Senior Engineer,1989-02-06,9999-01-01
63631,Cherinka,Falguni,1965-01-22,Senior Engineer,1987-10-15,9999-01-01
40983,Cherinka,Marla,1965-01-17,Technique Leader,1986-12-01,9999-01-01
480268,Cheshire,Gaurav,1965-01-18,Technique Leader,1989-03-30,9999-01-01
472052,Chinal,Godehard,1965-01-26,Assistant Engineer,1995-12-09,9999-01-01
97018,Chinen,Jeanna,1965-01-09,Engineer/Senior Engineer,1989-01-01,9999-01-01
56847,Chinin,Menkae,1965-01-14,Senior Engineer,1998-08-27,9999-01-01
408019,Chleq,Shridhar,1965-01-01,Engineer/Senior Engineer/Assistant Engineer,1986-03-22,9999-01-01
107737,Chleq,Fabrizio,1965-01-23,Senior Engineer,1999-07-31,9999-01-01
109953,Chorvat,Godehard,1965-01-26,Staff/Senior Staff,1988-04-10,9999-01-01
489755,Chorvat,Matk,1965-01-14,Staff/Senior Staff,1999-12-04,9999-01-01
240870,Chorvat,Francesca,1965-01-06,Staff/Senior Staff,1992-03-17,9999-01-01
400046,Christ,Hilari,1965-01-12,Senior Staff,1996-10-07,9999-01-01
99373,Christianini,Xiaobin,1965-01-13,Senior Staff/Staff,1985-12-25,9999-01-01
30484,Chvatal,Sailaja,1965-01-11,Staff,1999-05-18,9999-01-01
222319,Chvatal,Matt,1965-01-20,Senior Engineer,1994-11-09,9999-01-01
498838,Ciolek,Sanjay,1965-01-16,Staff/Senior Staff,1989-12-13,9999-01-01
295857,Ciolek,Kankanahalli,1965-01-17,Staff/Senior Staff,1989-12-26,9999-01-01
60238,Claffy,Erzsebet,1965-01-23,Staff,1999-02-19,9999-01-01
408953,Claffy,Jolita,1965-01-26,Senior Engineer,1993-12-24,9999-01-01
82919,Claffy,Shigeu,1965-01-05,Engineer,1998-12-19,9999-01-01
86213,Clemencon,Kristine,1965-01-28,Senior Staff/Staff,1993-06-01,9999-01-01
244714,Clouatre,Poorav,1965-01-27,Senior Engineer,1996-05-06,9999-01-01
474763,Clouatre,Mayuko,1965-01-07,Engineer,1997-09-04,9999-01-01
408654,Cochrane,Yongqiao,1965-01-09,Staff/Senior Staff,1986-10-27,9999-01-01
446121,Cochrane,Fay,1965-01-11,Staff,1999-12-13,9999-01-01
282547,Codenie,Nahum,1965-01-18,Engineer,1999-06-14,9999-01-01
469269,Codenie,Weiyi,1965-01-23,Engineer/Senior Engineer,1989-05-27,9999-01-01
83509,Collavizza,Breannda,1965-01-04,Engineer/Senior Engineer,1989-10-12,9999-01-01
290441,Collavizza,Gregory,1965-01-25,Staff/Senior Staff,1987-09-09,9999-01-01
33722,Collette,Anwar,1965-01-15,Senior Engineer,2001-02-03,9999-01-01
441536,Collette,Chinho,1965-01-10,Senior Engineer,1995-10-09,9999-01-01
52639,Colorni,Arup,1965-01-09,Senior Staff,1996-02-05,9999-01-01
469104,Comellas,Nadjib,1965-01-21,Engineer/Senior Engineer,1999-01-22,9999-01-01
427805,Compeau,Haldun,1965-01-21,Senior Staff,1997-10-15,9999-01-01
89346,Comyn,Mansur,1965-01-13,Engineer,1999-08-31,9999-01-01
74800,Conde,Yuuichi,1965-01-25,Engineer/Assistant Engineer/Senior Engineer,1989-03-08,9999-01-01
425830,Conia,Guther,1965-01-30,Engineer,1999-02-13,9999-01-01
482755,Conia,Jouni,1965-01-03,Senior Staff/Staff,1994-10-31,9999-01-01
247612,Constantine,Chiranjit,1965-01-04,Engineer,1997-05-25,9999-01-01
30035,Conta,Tetsushi,1965-01-08,Senior Staff,1995-07-04,9999-01-01
24394,Conta,Zhonghui,1965-01-04,Staff,1994-09-10,9999-01-01
252185,Conta,Chaosheng,1965-01-01,Assistant Engineer/Engineer,1997-04-14,9999-01-01
69878,Cooke,Chinya,1965-01-24,Engineer,1997-01-29,9999-01-01
492000,Cools,Valeska,1965-01-10,Staff/Senior Staff,1993-12-16,9999-01-01
461801,Cooman,Sumali,1965-01-03,Senior Staff/Staff,1993-04-18,9999-01-01
484142,Cooman,Perry,1965-01-05,Senior Staff/Staff,1987-04-23,9999-01-01
225964,Cooman,Mooi,1965-01-19,Senior Engineer/Engineer,1989-06-07,9999-01-01
88958,Coombs,Vojin,1965-01-22,Staff/Senior Staff,1995-07-23,9999-01-01
87353,Coombs,Quingbo,1965-01-07,Senior Engineer,1999-01-17,9999-01-01
414551,Copas,Elliott,1965-01-22,Engineer/Senior Engineer,1994-09-13,9999-01-01
254821,Couchot,Tonny,1965-01-24,Staff,1994-12-12,9999-01-01
93549,Coullard,Arie,1965-02-01,Staff/Senior Staff,2000-03-28,9999-01-01
281570,Covnot,Zijian,1965-01-08,Assistant Engineer,1994-09-13,9999-01-01
209565,Covnot,Dante,1965-01-09,Staff/Senior Staff,1989-05-28,9999-01-01
230689,Crabtree,Dietrich,1965-01-14,Senior Staff,1986-05-24,9999-01-01
105731,Cromarty,Sachem,1965-01-15,Assistant Engineer/Engineer,1990-08-20,9999-01-01
216342,Cromarty,Aiichiro,1965-01-22,Senior Engineer/Engineer,1995-06-10,9999-01-01
94331,Cronau,Ramzi,1965-01-26,Technique Leader,1999-09-03,9999-01-01
238949,Cronin,Minghong,1965-01-09,Senior Staff,1987-10-04,9999-01-01
107792,Crooks,Shahab,1965-01-13,Staff/Senior Staff,1992-03-18,9999-01-01
406847,Crouzet,Alexius,1965-01-24,Staff,1999-10-05,9999-01-01
18617,Crouzet,Surveyors,1965-01-21,Staff/Senior Staff,1989-04-24,9999-01-01
462795,Cummings,Somnath,1965-01-05,Staff/Senior Staff,1994-07-10,9999-01-01
79310,Cunliffe,Jeong,1965-01-24,Senior Staff,1996-10-27,9999-01-01
442312,Cusworth,Zengping,1965-01-05,Engineer/Senior Engineer,1991-06-07,9999-01-01
